offset;address;content
"[%ebp - 1  ]";"0x55554760";"AWAVI\x89\xd7AUATL\x8d%>\x06 "
"[%ebp - 4  ]";"0xffffe108";"(\xe4\xff\xff\xff\x7f"
"[%ebp - 6  ]";"0x55554850";"C'est cool mon petit tool quand meme"
"[%ebp - 7  ]";"0x5555482c";"Another one bites the dust !"
"[%ebp - 8  ]";"0x5555481b";"TOUM, TOUM, TOUM"
"[%ebp - 9  ]";"0x55554805";"A string in main(...)"
"[%ebp - 10 ]";"0x55554760";"AWAVI\x89\xd7AUATL\x8d%>\x06 "
"[%ebp - 11 ]";"0xf7a05b97";"\x89\xc7\xe8\x82\x15\x02"
"[%ebp - 13 ]";"0xffffe0f8";"\x16\xe4\xff\xff\xff\x7f"
"[%ebp - 15 ]";"0x555546c0";"UH\x89\xe5H\x83\xec0\x89}\xdcH\x89u\xd0H\x8d\x05/\x01"
"[%ebp - 16 ]";"0x00000000";"(null)"
"[%ebp - 18 ]";"0x55554580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 19 ]";"0xffffe0e0";"\x02"
"[%ebp - 20 ]";"0x00000000";"(null)"
"[%ebp - 21 ]";"0x00000000";"(null)"
"[%ebp - 25 ]";"0x00000000";"(null)"
"[%ebp - 26 ]";"0x00000000";"(null)"
"[%ebp - 27 ]";"0xf7de5733";"I\x83\xc6\x08L;4$u\xeb\x83\xeb\x01\x83\xfb\xff\x0f\x85C\xff\xff\xffH\x83\xc4\x18[]A\A]A^A_\xc3\x0f\x1f\x84"
"[%ebp - 28 ]";"0xf7dcb638";"\x10\xde\xb7\xf7\xff\x7f"
"[%ebp - 30 ]";"0x00000000";"(null)"
"[%ebp - 31 ]";"0x00000000";"(null)"
"[%ebp - 32 ]";"0x00000000";"(null)"
"[%ebp - 33 ]";"0x55554580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 34 ]";"0xffffe0c0";"\x02"
"[%ebp - 35 ]";"0x555545aa";"\xf4\x0f\x1fD"
"[%ebp - 36 ]";"0xffffe0b8";"\x1c"
"[%ebp - 39 ]";"0xffffe3e2";"./vulnerable_binary"
"[%ebp - 40 ]";"0xffffe3f4";"./vulnerable_binary"
"[%ebp - 41 ]";"0x00000000";"(null)"
"[%ebp - 42 ]";"0xffffe44a";"LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do="
"[%ebp - 43 ]";"0xffffea36";"LC_MEASUREMENT=fr_FR.UTF-8"
"[%ebp - 44 ]";"0xffffea51";"LESSCLOSE=/usr/bin/lesspipe  (null)"
"[%ebp - 45 ]";"0xffffea73";"LC_PAPER=fr_FR.UTF-8"
"[%ebp - 46 ]";"0xffffea88";"LC_MONETARY=fr_FR.UTF-8"
"[%ebp - 47 ]";"0xffffeaa0";"LANG=en_US.UTF-8"
"[%ebp - 48 ]";"0xffffeab1";"GDM_LANG=en_US"
"[%ebp - 49 ]";"0xffffeac0";"DISPLAY=:0"
"[%ebp - 50 ]";"0xffffeacb";"COLORTERM=truecolor"
"[%ebp - 51 ]";"0xffffeadf";"XDG_VTNR=7"
"[%ebp - 52 ]";"0xffffeaea";"SSH_AUTH_SOCK=/tmp/ssh-YTraLnjDZpZp/agent.1403"
