offset;address;content
"[%ebp - 1  ]";"0xce069760";"AWAVI\x89\xd7AUATL\x8d%>\x06 "
"[%ebp - 4  ]";"0x36d93b98";"\xa4\xc3R\x7f\xfe\x7f"
"[%ebp - 6  ]";"0x8d662850";"C'est cool mon petit tool quand meme"
"[%ebp - 7  ]";"0x82f1582c";"Another one bites the dust !"
"[%ebp - 8  ]";"0x5c42281b";"TOUM, TOUM, TOUM"
"[%ebp - 9  ]";"0xb66ac805";"A string in main(...)"
"[%ebp - 10 ]";"0x45c92760";"AWAVI\x89\xd7AUATL\x8d%>\x06 "
"[%ebp - 11 ]";"0x8fc18b97";"\x89\xc7\xe8\x82\x15\x02"
"[%ebp - 13 ]";"0xca54e6e8";"\x92\xc3\x1fW\xfd\x7f"
"[%ebp - 15 ]";"0x3e0b36c0";"UH\x89\xe5H\x83\xec0\x89}\xdcH\x89u\xd0H\x8d\x05/\x01"
"[%ebp - 16 ]";"0x00000000";"(null)"
"[%ebp - 18 ]";"0xfe0f6580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 19 ]";"0x392f0ff0";"\x02"
"[%ebp - 20 ]";"0x00000000";"(null)"
"[%ebp - 21 ]";"0x00000000";"(null)"
"[%ebp - 25 ]";"0x00000000";"(null)"
"[%ebp - 26 ]";"0x00000000";"(null)"
"[%ebp - 27 ]";"0x4aa98733";"I\x83\xc6\x08L;4$u\xeb\x83\xeb\x01\x83\xfb\xff\x0f\x85C\xff\xff\xffH\x83\xc4\x18[]A\A]A^A_\xc3\x0f\x1f\x84"
"[%ebp - 28 ]";"0x04e09638";"\x10njb\xee\x7f"
"[%ebp - 30 ]";"0x00000000";"(null)"
"[%ebp - 31 ]";"0x00000000";"(null)"
"[%ebp - 32 ]";"0x00000000";"(null)"
"[%ebp - 33 ]";"0x53755580";"1\xedI\x89\xd1^H\x89\xe2H\x83\xe4\xf0PTL\x8d\x05:\x02"
"[%ebp - 34 ]";"0x1ecfbf80";"\x02"
"[%ebp - 35 ]";"0x0c1bd5aa";"\xf4\x0f\x1fD"
"[%ebp - 36 ]";"0xcb348908";"\x1c"
"[%ebp - 39 ]";"0xde2ff35e";"examples/vulnerable_binary"
"[%ebp - 40 ]";"0x3f3b6377";"examples/vulnerable_binary"
"[%ebp - 41 ]";"0x00000000";"(null)"
"[%ebp - 42 ]";"0xc8e783cd";"LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do="
"[%ebp - 43 ]";"0x6d3819b9";"LC_MEASUREMENT=fr_FR.UTF-8"
"[%ebp - 44 ]";"0xfe5489d4";"LESSCLOSE=/usr/bin/lesspipe  (null)"
"[%ebp - 45 ]";"0xf72299f6";"LC_PAPER=fr_FR.UTF-8"
"[%ebp - 46 ]";"0x75901a0b";"LC_MONETARY=fr_FR.UTF-8"
"[%ebp - 47 ]";"0x05f20a23";"LANG=en_US.UTF-8"
"[%ebp - 48 ]";"0x90135a34";"GDM_LANG=en_US"
"[%ebp - 49 ]";"0x80131a43";"DISPLAY=:0"
"[%ebp - 50 ]";"0x36692a4e";"COLORTERM=truecolor"
"[%ebp - 51 ]";"0xa866fa62";"XDG_VTNR=7"
"[%ebp - 52 ]";"0xb3acca6d";"SSH_AUTH_SOCK=/tmp/ssh-5siaxyD56NhN/agent.2304"
"[%ebp - 53 ]";"0x76b67a9c";"MANDATORY_PATH=/usr/share/gconf/i3.mandatory.path"
"[%ebp - 54 ]";"0x8d507ace";"LC_NAME=fr_FR.UTF-8"
"[%ebp - 55 ]";"0xdcbcaae2";"XDG_SESSION_ID=c3"
"[%ebp - 56 ]";"0xe7819af4";"XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/hermes"
"[%ebp - 57 ]";"0x59024b26";"USER=hermes"
"[%ebp - 58 ]";"0xc51a2b32";"DESKTOP_SESSION=i3"
"[%ebp - 59 ]";"0xfbe14b45";"DEFAULTS_PATH=/usr/share/gconf/i3.default.path"
"[%ebp - 60 ]";"0xbff13b74";"PWD=/home/hermes/Documents/git_projects/small-projects/Pytho"
"[%ebp - 61 ]";"0xeab44bbf";"HOME=/home/hermes"
"[%ebp - 62 ]";"0xfd0c1bd1";"SSH_AGENT_PID=2409"
